db,id,year,title,venue,type,url,query,already_screened_d01,triage_score,triage_terms
crossref,doi:10.1115/1.2817068,1997,Capacitive Measurement of Compressor and Turbine Blade Tip to Casing Running Clearance,Journal of Engineering for Gas Turbines and Power,journal-article,https://doi.org/10.1115/1.2817068,tip clearance optical capacitive measurement fan blade,False,6,tip clearance;capacitive;rotor
crossref,doi:10.2514/6.2018-4437.c1,2018,Correction: Numerical Investigation of Effects of Tip Clearance in Shrouded Turbine Rotor Blade Performance,2018 Joint Propulsion Conference,proceedings-article,https://doi.org/10.2514/6.2018-4437.c1,non-axisymmetric tip clearance rotor performance,False,6,tip clearance;shroud;rotor
crossref,doi:10.1115/94-gt-479,1994,Effect of Axially Non-Uniform Rotor Tip Clearance on the Performance of a High Speed Axial Flow Compressor Stage,Volume 1: Turbomachinery,proceedings-article,https://doi.org/10.1115/94-gt-479,ducted fan non-uniform tip clearance experimental,False,6,tip clearance;non-uniform;rotor
crossref,doi:10.2139/ssrn.4811593,2024,Impact of Non-Axisymmetric Tip Clearance on the Aerodynamic and Aeroelastic Stabilities of a Transonic Compressor,,posted-content,https://doi.org/10.2139/ssrn.4811593,non-axisymmetric tip clearance rotor performance,False,6,tip clearance;non-axisymmetric
crossref,doi:10.1016/j.measurement.2025.117103,2025,Improved installation method for Skewed-Dual-Light-Probe (SDLP) in blade tip clearance measurement,Measurement,journal-article,https://doi.org/10.1016/j.measurement.2025.117103,tip clearance optical capacitive measurement fan blade,False,6,tip clearance;clearance measurement
crossref,doi:10.1115/gt2017-63980,2017,Investigation on the Turbine Blade Tip Clearance Measurement and Active Clearance Control Based on Eddy Current Pulse-Trigger Method,Volume 7B: Structures and Dynamics,proceedings-article,https://doi.org/10.1115/gt2017-63980,tip clearance optical capacitive measurement fan blade,False,6,tip clearance;clearance measurement
crossref,doi:10.2514/6.2003-4767,2003,Modeling Performance of Turbines at Large Tip Clearance of Unshrouded Rotor Cascades,39th AIAA/ASME/SAE/ASEE Joint Propulsion Conference and Exhibit,proceedings-article,https://doi.org/10.2514/6.2003-4767,non-axisymmetric tip clearance rotor performance,False,6,tip clearance;shroud;rotor
crossref,doi:10.1109/icsens.2012.6411229,2012,New microwave sensing system for blade tip clearance measurement in gas turbines,2012 IEEE Sensors,proceedings-article,https://doi.org/10.1109/icsens.2012.6411229,tip clearance optical capacitive measurement fan blade,False,6,tip clearance;clearance measurement
crossref,doi:10.2139/ssrn.4536337,2023,Numerical Investigate on the Influence of Non-Uniform Tip Clearance on Rotor Tip Clearance Flow Filed Structure,,posted-content,https://doi.org/10.2139/ssrn.4536337,ducted fan non-uniform tip clearance experimental,False,6,tip clearance;non-uniform;rotor
crossref,doi:10.2514/6.2018-4437,2018,Numerical Investigation of Effects of Tip Clearance in Shrouded Turbine Rotor Blade Performance,2018 Joint Propulsion Conference,proceedings-article,https://doi.org/10.2514/6.2018-4437,non-axisymmetric tip clearance rotor performance,False,6,tip clearance;shroud;rotor
crossref,doi:10.1063/1.4879569,2014,On the development of a magnetoresistive sensor for blade tip timing and blade tip clearance measurement systems,AIP Conference Proceedings,proceedings-article,https://doi.org/10.1063/1.4879569,tip clearance optical capacitive measurement fan blade,False,6,tip clearance;clearance measurement
crossref,doi:10.5139/jksas.2013.41.7.516,2013,Study on Tip Clearance Effect of a Counter-Rotating Ducted Fan for VTOL UAV,Journal of the Korean Society for Aeronautical &amp; Space Sciences,journal-article,https://doi.org/10.5139/jksas.2013.41.7.516,ducted fan non-uniform tip clearance experimental,False,6,tip clearance;ducted fan;ducted
crossref,doi:10.1115/94-gt-363,1994,The Effect of Tip Clearance on a Swept Transonic Compressor Rotor,Volume 1: Turbomachinery,proceedings-article,https://doi.org/10.1115/94-gt-363,non-axisymmetric tip clearance rotor performance,False,6,tip clearance;shroud;rotor
crossref,doi:10.1063/5.0223835,2024,The investigation on vortex breakdown prior to stall in a compressor rotor with non-uniform tip clearance,Physics of Fluids,journal-article,https://doi.org/10.1063/5.0223835,ducted fan non-uniform tip clearance experimental,False,6,tip clearance;non-uniform;rotor
crossref,doi:10.2139/ssrn.5773472,2025,Tip-induced shock wave for desensitization of flow behavior to circumferentially non-uniform variations of tip clearance in a transonic compressor rotor,,posted-content,https://doi.org/10.2139/ssrn.5773472,ducted fan non-uniform tip clearance experimental,False,6,tip clearance;non-uniform;rotor
crossref,doi:10.1115/gt2007-27393,2007,Turbine Blade Tip Clearance Measurement Instrumentation,Volume 1: Turbo Expo 2007,proceedings-article,https://doi.org/10.1115/gt2007-27393,tip clearance optical capacitive measurement fan blade,False,6,tip clearance;clearance measurement
crossref,doi:10.1117/1.oe.51.8.081514,2012,Turbine blade tip clearance measurement using a skewed dual-beam fiber optic sensor,Optical Engineering,journal-article,https://doi.org/10.1117/1.oe.51.8.081514,tip clearance optical capacitive measurement fan blade,False,6,tip clearance;clearance measurement
crossref,doi:10.1115/gt2013-95255,2013,Unsteady Analysis on the Effects of Tip Clearance Height on Hot Streak Migration Across Rotor Blade Tip Clearance,Volume 6C: Turbomachinery,proceedings-article,https://doi.org/10.1115/gt2013-95255,ducted fan tip clearance ovality,False,6,tip clearance;non-uniform;rotor
crossref,doi:10.1115/1.4026805,2014,Unsteady Analysis on the Effects of Tip Clearance Height on Hot Streak Migration Across Rotor Blade Tip Clearance,Journal of Engineering for Gas Turbines and Power,journal-article,https://doi.org/10.1115/1.4026805,non-axisymmetric tip clearance rotor performance,False,6,tip clearance;nonuniform;rotor
openalex,doi:10.3390/s26103101,2026,Ceramic-Integrated Eddy Current Sensor for Blade Tip Clearance Measurement: Design and Performance Evaluation,Sensors,article,https://doi.org/10.3390/s26103101,tip clearance optical capacitive measurement fan blade,False,6,tip clearance;clearance measurement
openalex,doi:10.1115/97-gt-406,1997,Effects of Non-Axisymmetric Tip Clearance on Axial Compressor Performance and Stability,Volume 1: Aircraft Engine; Marine; Turbomachinery; Microturbines and Small Turbomachinery,conference-paper,https://doi.org/10.1115/97-gt-406,ducted fan non-uniform tip clearance experimental,False,6,tip clearance;non-axisymmetric
openalex,doi:10.3390/s25103145,2025,Experimental Verification of High-Temperature Resistance and High Resolution of Inductive Tip Clearance Measurement System,Sensors,article,https://doi.org/10.3390/s25103145,tip clearance optical capacitive measurement fan blade,False,6,tip clearance;clearance measurement
openalex,doi:10.1016/j.ast.2024.109457,2024,Impact of non-axisymmetric tip clearance on the aerodynamic and aeroelastic stabilities of a transonic compressor,Aerospace Science and Technology,article,https://doi.org/10.1016/j.ast.2024.109457,non-axisymmetric tip clearance rotor performance,False,6,tip clearance;non-axisymmetric
openalex,doi:10.1016/j.cja.2022.09.012,2022,New model-based method for aero-engine turbine blade tip clearance measurement,Chinese Journal of Aeronautics,article,https://doi.org/10.1016/j.cja.2022.09.012,ducted fan non-uniform tip clearance experimental,False,6,tip clearance;clearance measurement
openalex,doi:10.1177/09576509211047002,2021,Some effects of non-axisymmetric tip clearance layout on axial compressor aerodynamics,Proceedings of the Institution of Mechanical Engineers Part A Journal of Power and Energy,article,https://doi.org/10.1177/09576509211047002,non-axisymmetric tip clearance rotor performance,False,6,tip clearance;non-axisymmetric
openalex,doi:10.3390/app14010254,2023,Synchronous Vibration Parameter Recognition of Constant-Speed Blades Based on Blade Tip Clearance Measurement,Applied Sciences,article,https://doi.org/10.3390/app14010254,tip clearance optical capacitive measurement fan blade,False,6,tip clearance;clearance measurement
openalex,doi:10.2514/6.1999-2134,1999,Time-of-flight tip-clearance measurements,35th Joint Propulsion Conference and Exhibit,conference-paper,https://doi.org/10.2514/6.1999-2134,tip clearance optical capacitive measurement fan blade,False,6,tip-clearance;clearance measurement
openalex,doi:10.3390/s16111897,2016,Tip-Clearance Measurement in the First Stage of the Compressor of an Aircraft Engine,Sensors,article,https://doi.org/10.3390/s16111897,tip clearance optical capacitive measurement fan blade,False,6,tip-clearance;clearance measurement
arxiv,arxiv:2412.09288,2024,Explicit formulas for forced convection in a shrouded longitudinal-fin heat sink with clearance,,,https://arxiv.org/abs/2412.09288,ducted fan non-uniform tip clearance experimental,False,5,tip clearance;shroud
arxiv,arxiv:2502.21289,2025,Flow-Driven Rotor Simulations of Seyi-Chunlei Ducted Turbine,,,https://arxiv.org/abs/2502.21289,ducted fan non-uniform tip clearance experimental,False,5,tip clearance;ducted;rotor
crossref,doi:10.5957/jsr.1979.23.4.253,1979,A Model of an Axisymmetrical Ducted Propeller with Zero Tip Clearance,Journal of Ship Research,journal-article,https://doi.org/10.5957/jsr.1979.23.4.253,ducted fan non-uniform tip clearance experimental,False,5,tip clearance;ducted;propeller
crossref,doi:10.1115/1.1359212,2000,An Aerodynamic Shroud for Automotive Cooling Fans,Journal of Fluids Engineering,journal-article,https://doi.org/10.1115/1.1359212,segmented shroud rotor duct seam aerodynamic,False,5,tip clearance;shroud
